id_a,id_total_hint,code_b,code_c,code_d,category,category_num,straat,postcode,plaats,lat,lon
0,29656,0,2,1,100,100.0,Vellertweg 19,7341AB,Beemte Broekland,52.249672,5.986992
1,29656,0,3,1,100,100.0,Staverhul 17,3888MR,Uddel,52.267215,5.780052
2,29656,0,4,1,100,100.0,Staverhul 22,3888MR,Uddel,52.267014,5.776082
3,29656,0,5,1,100,100.0,Staverhul 9,3888MR,Uddel,52.26739,5.782203
4,29656,0,6,1,100,100.0,Oudedijk 25,3888MP,Uddel,52.265104,5.756574
5,29656,0,7,1,100,100.0,Harderwijkerweg 109,3888LP,Uddel,52.26652,5.765549
6,29656,0,8,1,71,71.0,Hullenkampweg 31,3888MN,Uddel,52.263556,5.774596
7,29656,0,9,1,100,100.0,Harderwijkerweg 78,3888LS,Uddel,52.262865,5.773412
8,29656,0,10,1,100,100.0,Harderwijkerweg 87,3888LP,Uddel,52.264123,5.770997
9,29656,0,11,1,100,100.0,Noord Riezenweg 47,3888LT,Uddel,52.262643,5.779838
10,29656,0,12,1,100,100.0,Markveldweg 28,3888MB,Uddel,52.262925,5.778216
11,29656,0,13,1,100,100.0,Markveldweg 35,3888MA,Uddel,52.263132,5.777061
12,29656,0,14,1,150,150.0,Elspeterweg 86,3888MX,Uddel,52.265796,5.784691
13,29656,0,15,1,150,150.0,Elspeterweg 75 D,3888MT,Uddel,52.266642,5.784795
14,29656,0,16,1,150,150.0,Elspeterweg 61,3888MT,Uddel,52.263176,5.784328
15,29656,0,17,1,100,100.0,Elburgerweg 69,7345EE,Wenum Wiesel,52.273113,5.931098
16,29656,0,18,1,100,100.0,Elburgerweg 59 A,7345EE,Wenum Wiesel,52.271194,5.933832
17,29656,0,19,1,71,71.0,Windhoek 11,7345EH,Wenum Wiesel,52.272487,5.934793
18,29656,0,20,1,100,100.0,Elburgerweg 69,7345EE,Wenum Wiesel,52.272648,5.931778
19,29656,0,21,1,71,71.0,Windhoek 21,7345EH,Wenum Wiesel,52.272217,5.937823
20,29656,0,22,1,45,45.0,Windhoek 55,7345EH,Wenum Wiesel,52.272798,5.947752
21,29656,0,23,1,150,150.0,Zwolseweg 491,7345AG,Wenum Wiesel,52.271194,5.958889
22,29656,0,24,1,71,71.0,Kanaweg 21,7345DZ,Wenum Wiesel,52.271668,5.978706
23,29656,0,25,1,59,59.0,Kanaweg 24,7345DZ,Wenum Wiesel,52.272629,5.982211
24,29656,0,26,1,59,59.0,Bellertstraat 32,7341PG,Beemte Broekland,52.271834,5.989263
25,29656,0,27,1,59,59.0,Werler 7,7341PL,Beemte Broekland,52.272242,6.009444
26,29656,0,28,1,100,100.0,Bloemenkamp 2,7341PP,Beemte Broekland,52.270364,6.018195
27,29656,0,29,1,100,100.0,Elburgerweg 55,7345EE,Wenum Wiesel,52.269729,5.935904
28,29656,0,30,1,100,100.0,Elburgerweg 42,7345EG,Wenum Wiesel,52.268224,5.937988
29,29656,0,31,1,100,100.0,Ridderweg 35,7345EC,Wenum Wiesel,52.269303,5.951277
30,29656,0,32,1,151,151.0,Zwolseweg 608,7345AR,Wenum Wiesel,52.268589,5.957486
31,29656,0,33,1,66,66.0,Zwolseweg 608,7345AR,Wenum Wiesel,52.269203,5.956374
32,29656,0,34,1,71,71.0,Zwolseweg 489,7345AC,Wenum Wiesel,52.269904,5.956457
33,29656,0,35,1,71,71.0,Zwolseweg 489,7345AC,Wenum Wiesel,52.269926,5.955604
34,29656,0,36,1,103,103.0,Zwolseweg 489,7345AC,Wenum Wiesel,52.269358,5.955826
35,29656,0,37,1,103,103.0,Zwolseweg 475,7345AG,Wenum Wiesel,52.268618,5.955544
36,29656,0,38,1,100,100.0,Ridderweg 25,7345EC,Wenum Wiesel,52.267263,5.951013
37,29656,0,39,1,45,45.0,Oude Zwolseweg 213,7345DH,Wenum Wiesel,52.267954,5.96534
38,29656,0,40,1,71,71.0,Oude Zwolseweg 203,7345DH,Wenum Wiesel,52.268096,5.967809
39,29656,0,41,1,71,71.0,Kanaweg 20,7345DZ,Wenum Wiesel,52.270331,5.978783
40,29656,0,42,1,100,100.0,Kanaweg 15,7345DZ,Wenum Wiesel,52.267911,5.978916
41,29656,0,43,1,100,100.0,Kanaweg 8,7345DZ,Wenum Wiesel,52.266779,5.983475
42,29656,0,44,1,71,71.0,Bellertstraat 26,7341PG,Beemte Broekland,52.26952,5.988812
43,29656,0,45,1,45,45.0,Goorland 9,7341PK,Beemte Broekland,52.26878,5.997428
44,29656,0,46,1,100,100.0,Goorland 2,7341PK,Beemte Broekland,52.268035,5.989067
45,29656,0,47,1,100,100.0,Broeklanderweg 18,7341PJ,Beemte Broekland,52.266121,5.995525
46,29656,0,48,1,100,100.0,Broeklanderweg 24,7341PJ,Beemte Broekland,52.266569,5.997619
47,29656,0,49,1,71,71.0,Werler 3,7341PL,Beemte Broekland,52.269416,6.010167
48,29656,0,50,1,100,100.0,Broeklanderweg 21,7341PK,Beemte Broekland,52.267386,6.007073
49,29656,0,51,1,100,100.0,Werler 8,7341PL,Beemte Broekland,52.267691,6.009807
50,29656,0,52,1,100,100.0,Broeklanderweg 19,7341PK,Beemte Broekland,52.267296,6.006062
51,29656,0,53,1,100,100.0,Nieuwe Wetering 31,7341PR,Beemte Broekland,52.267139,6.004319
52,29656,0,54,1,100,100.0,Broeklanderweg 41,7341PL,Beemte Broekland,52.266788,6.014426
53,29656,0,55,1,45,45.0,Gatherweg 40,8171LC,Vaassen,52.270028,6.030566
54,29656,0,56,1,100,100.0,Broeklanderweg 45,7341PM,Beemte Broekland,52.266277,6.017306
55,29656,0,57,1,100,100.0,Broeklanderweg 58,7341PM,Beemte Broekland,52.266255,6.023394
56,29656,0,58,1,71,71.0,De Gaete 3 A,7341PM,Beemte Broekland,52.267427,6.030051
57,29656,0,59,1,71,71.0,Kopermolenweg 75,7345CP,Wenum Wiesel,52.265273,5.935113
58,29656,0,60,1,100,100.0,Greutelseweg 18,7345EG,Wenum Wiesel,52.264047,5.943911
59,29656,0,61,1,100,100.0,Greutelseweg 15,7345EG,Wenum Wiesel,52.26465,5.950677
60,29656,0,62,1,150,150.0,Zwolseweg 471,7345AG,Wenum Wiesel,52.266081,5.956257
